venue,Relevancy
journal of infection,Irrelevant
journal of informetrics,Relevant
intelligence,Irrelevant
california law review,Irrelevant
leisure sciences,Irrelevant
visual informatics,Irrelevant
therapeutic advances in drug safety,Irrelevant
palliative medicine,Irrelevant
"journal of international financial markets, institutions and money",Irrelevant
european journal of oncology nursing,Irrelevant
nuclear fusion,Irrelevant
ezikov svyat,Irrelevant
studies in communication sciences,Irrelevant
newborn and infant nursing reviews,Irrelevant
journal of school psychology,Irrelevant
research in globalization,Irrelevant
eastern mediterranean health journal,Irrelevant
f&s reports,Irrelevant
communication sciences and disorders,Irrelevant
"emotion, space and society",Irrelevant
international journal of performance arts and digital media,Irrelevant
journal of business strategy,Irrelevant
astrobiology,Irrelevant
clinics in dermatology,Irrelevant
andrologia,Irrelevant
computer methods and programs in biomedicine,Irrelevant
journal of the european academy of dermatology and venereology,Irrelevant
trends in neuroscience and education,Irrelevant
maastricht journal of european and comparative law,Irrelevant
"language, speech, and hearing services in schools",Irrelevant
angelaki - journal of the theoretical humanities,Irrelevant
trends in cognitive sciences,Irrelevant
arthroscopy: the journal of arthroscopic & related surgery,Irrelevant
trends in neurosciences,Irrelevant
brain and cognition,Irrelevant
journal of safety research,Irrelevant
intersections east european journal of society and politics,Irrelevant
ecological economics,Irrelevant
survey of ophthalmology,Irrelevant
pragmatics,Irrelevant
journal of rural studies,Irrelevant
journal of obstetrics and gynaecology canada,Irrelevant
consciousness and cognition,Irrelevant
seizure,Irrelevant
environmental challenges,Irrelevant
microbes and infection,Irrelevant
current issues in tourism,Irrelevant
journal of creativity in mental health,Irrelevant
biologicals,Irrelevant
terrorism and political violence,Irrelevant
theriogenology,Irrelevant
iscience,Irrelevant
respirology,Irrelevant
seminars in perinatology,Irrelevant
osteoarthritis and cartilage open,Irrelevant
computers and composition,Irrelevant
middle east critique,Irrelevant
journal of hand surgery global online,Irrelevant
f&s reviews,Irrelevant
journal of geophysical research: biogeosciences,Irrelevant
biological psychology,Irrelevant
discourse and communication,Irrelevant
the lancet regional health - americas,Irrelevant
sexual medicine,Irrelevant
development engineering,Irrelevant
the lancet digital health,Irrelevant
baltic journal of european studies,Irrelevant
portal,Relevant
international journal of law and psychiatry,Irrelevant
applied mathematics letters,Irrelevant
british journal of anaesthesia,Irrelevant
f1000research,Irrelevant
international journal of educational development,Irrelevant
acta haematologica polonica,Irrelevant
human resource management review,Irrelevant
advances in parallel computing,Irrelevant
russian journal of linguistics,Irrelevant
renewable energy focus,Irrelevant
communication and sport,Irrelevant
endocrine practice,Irrelevant
éthique & santé,Irrelevant
the lancet microbe,Irrelevant
interdisciplinaria,Irrelevant
digital communications and networks,Irrelevant
annals of tourism research,Irrelevant
journal of community psychology,Irrelevant
kinetic and related models,Irrelevant
chinese journal of physics,Irrelevant
sexual & reproductive healthcare,Irrelevant
journal of hospitality and tourism management,Irrelevant
"chaos, solitons & fractals: x",Irrelevant
studies in indian politics,Irrelevant
enfermería clínica (english edition),Irrelevant
drug and alcohol dependence,Irrelevant
information and organization,Relevant
physics of plasmas,Irrelevant
clinical simulation in nursing,Irrelevant
china journal of accounting research,Irrelevant
ifla journal,Relevant
intelligent systems with applications,Irrelevant
australasian journal of dermatology,Irrelevant
safety and health at work,Irrelevant
fish and fisheries,Irrelevant
simulation modelling practice and theory,Irrelevant
international journal of safety and security engineering,Irrelevant
mobilities,Irrelevant
discrete mathematics,Irrelevant
enfermería clínica,Irrelevant
mathematical and computer modelling,Irrelevant
experimental neurology,Irrelevant
communication education,Irrelevant
tourism management perspectives,Irrelevant
data & knowledge engineering,Irrelevant
journal of critical reviews,Irrelevant
value in health regional issues,Irrelevant
environmental research,Irrelevant
applied optics,Irrelevant
journal of king saud university - computer and information sciences,Irrelevant
american business law journal,Irrelevant
international journal of clinical and health psychology,Irrelevant
continuum,Irrelevant
the veterinary journal,Irrelevant
environment international,Irrelevant
journal of legal affairs and dispute resolution in engineering and construction,Irrelevant
american journal of physical medicine and rehabilitation,Irrelevant
frontiers in veterinary science,Irrelevant
optik,Irrelevant
european review of applied psychology,Irrelevant
international health,Irrelevant
international journal of psychology,Irrelevant
journal of applied philosophy,Irrelevant
hts teologiese studies / theological studies,Irrelevant
psicología educativa,Irrelevant
education for chemical engineers,Irrelevant
frontiers in oncology,Irrelevant
russian journal of communication,Irrelevant
reproductive health matters,Irrelevant
laryngoscope,Irrelevant
botany letters,Irrelevant
energy strategy reviews,Irrelevant
bangladesh journal of medical science,Irrelevant
"theory, culture and society",Irrelevant
celebrity studies,Irrelevant
technovation,Irrelevant
futures,Irrelevant
forest policy and economics,Irrelevant
floresta,Irrelevant
journal of the japanese and international economies,Irrelevant
transportation research procedia,Irrelevant
journal of ethnopharmacology,Irrelevant
the journal of strategic information systems,Irrelevant
journal of financial intermediation,Irrelevant
disability and health journal,Irrelevant
otolaryngology - head and neck surgery (united states),Irrelevant
surgery,Irrelevant
archivio italiano di urologia e andrologia,Irrelevant
journal of international political theory,Irrelevant
"clinical, cosmetic and investigational dermatology",Irrelevant
ifla journal-international federation of library associations,Partial Relevant
journal of interdisciplinary economics,Irrelevant
global public health,Irrelevant
american journal of family therapy,Irrelevant
the lancet psychiatry,Irrelevant
political studies review,Irrelevant
canadian journal of cardiology,Irrelevant
mind & language,Irrelevant
kidney international,Irrelevant
pedagogy culture and society,Irrelevant
british food journal,Irrelevant
journal of consumer health on the internet,Irrelevant
chemkon,Irrelevant
digital scholarship in the humanities,Irrelevant
journal of oral and maxillofacial surgery,Irrelevant
journal of applied security research,Irrelevant
international theory,Irrelevant
media war and conflict,Irrelevant
social semiotics,Irrelevant
clinical infectious diseases,Irrelevant
operations research,Irrelevant
fertility and sterility,Irrelevant
allergologia et immunopathologia,Irrelevant
australian and new zealand journal of public health,Irrelevant
world medical & health policy,Irrelevant
political psychology,Irrelevant
global health journal,Irrelevant
democracy & security,Irrelevant
social science journal,Irrelevant
british journal of management,Irrelevant
media psychology,Irrelevant
geopolitics,Irrelevant
neuroscience & biobehavioral reviews,Irrelevant
international journal of public leadership,Irrelevant
politics,Irrelevant
international journal of urology,Irrelevant
journal of geriatric oncology,Irrelevant
nursing for women's health,Irrelevant
international quarterly of community health education,Irrelevant
health & place,Irrelevant
journal of internal medicine,Irrelevant
aggression and violent behavior,Irrelevant
big data,Irrelevant
journal of creative communications,Irrelevant
erkenntnis,Irrelevant
journal of human evolution,Irrelevant
journal of sensory studies,Irrelevant
journal of child health care,Irrelevant
journal of computer and system sciences,Irrelevant
array,Irrelevant
advances in medical sciences,Irrelevant
eating behaviors,Irrelevant
journal of vibration and control,Irrelevant
critical discourse studies,Irrelevant
nurse education in practice,Irrelevant
dental and medical problems,Irrelevant
journal of the american college of cardiology,Irrelevant
journal of the american medical directors association,Irrelevant
jmir aging,Irrelevant
sociological methods & research,Irrelevant
law culture and the humanities,Irrelevant
media history,Irrelevant
environmental sociology,Irrelevant
journal of youth studies,Irrelevant
the lancet child & adolescent health,Irrelevant
political behavior,Irrelevant
studies in history and philosophy of science,Irrelevant
radiography,Irrelevant
european journal of criminology,Irrelevant
animal,Irrelevant
journal of the association for vascular access,Irrelevant
international journal of public administration,Irrelevant
renewable and sustainable energy reviews,Irrelevant
computational and mathematical organization theory,Irrelevant
journal of health psychology,Irrelevant
philosophical psychology,Irrelevant
sante publique,Irrelevant
jnci-journal of the national cancer institute,Irrelevant
information technology & people,Irrelevant
ethnography,Irrelevant
brno studies in english,Irrelevant
computers in industry,Irrelevant
evaluation and program planning,Irrelevant
"oral surgery, oral medicine, oral pathology and oral radiology",Irrelevant
"seminars in ultrasound, ct and mri",Irrelevant
american political science review,Irrelevant
ieee geoscience and remote sensing letters,Irrelevant
current research in behavioral sciences,Irrelevant
prooftexts - journal of jewish literature history,Irrelevant
international dairy journal,Irrelevant
advances in physiology education,Irrelevant
british journal of health psychology,Irrelevant
management decision,Irrelevant
social and environmental accountability journal,Irrelevant
genetics in medicine,Irrelevant
journal of pediatric urology,Irrelevant
jmir medical education,Irrelevant
food research international,Irrelevant
annales pharmaceutiques françaises,Irrelevant
turkish online journal of distance education,Irrelevant
molecular ecology,Irrelevant
contemporary clinical trials communications,Irrelevant
journal of travel research,Irrelevant
dissent,Irrelevant
tourism recreation research,Irrelevant
vacunas,Irrelevant
petroleum geology conference proceedings,Irrelevant
international journal of dermatology,Irrelevant
perspectives on global development and technology,Irrelevant
asia pacific management review,Irrelevant
journal of the academy of nutrition and dietetics,Irrelevant
current opinion in food science,Irrelevant
revista colombiana de psicologia,Irrelevant
international journal of digital television,Irrelevant
brazilian journal of cardiovascular surgery,Irrelevant
canadian journal of economics,Irrelevant
best practice & research clinical rheumatology,Irrelevant
ecological monographs,Irrelevant
ps - political science and politics,Irrelevant
journal of chemical and engineering data,Irrelevant
journal of environmental policy and planning,Irrelevant
excli journal,Irrelevant
organization studies,Irrelevant
space policy,Irrelevant
intercultural pragmatics,Irrelevant
"british journal of psychology (london, england : 1953)",Irrelevant
antitrust bulletin,Irrelevant
aquaculture,Irrelevant
ecological applications,Irrelevant
asia pacific journal of health management,Irrelevant
annals of cardiothoracic surgery,Irrelevant
"resources, conservation and recycling",Irrelevant
international journal of web based communities,Irrelevant
biomass and bioenergy,Irrelevant
journal of competition law and economics,Irrelevant
annals of botany,Irrelevant
resuscitation,Irrelevant
television and new media,Irrelevant
"international journal of mining, reclamation and environment",Irrelevant
environmental microbiology reports,Irrelevant
global economic review,Irrelevant
r and d management,Irrelevant
journal of voice,Irrelevant
applied energy,Irrelevant
journal of intelligence studies in business,Irrelevant
journal of geophysical research,Irrelevant
medicine and pharmacy reports,Irrelevant
process safety and environmental protection,Irrelevant
mediterranean journal of hematology and infectious diseases,Irrelevant
expert review of hematology,Irrelevant
"international journal for crime, justice and social democracy",Irrelevant
zootaxa,Irrelevant
progress in physical geography,Irrelevant
profilakticheskaya meditsina,Irrelevant
journal of glaciology,Irrelevant
journal of sex and marital therapy,Irrelevant
sociological studies of children and youth,Irrelevant
journal of public health and development,Irrelevant
sedimentology,Irrelevant
american journal of education,Irrelevant
journal of nursing management,Irrelevant
big data and society,Relevant
bmj (online),Irrelevant
interpretation,Irrelevant
journal of communication in healthcare,Irrelevant
studies in history and philosophy of science part a,Irrelevant
journal of theoretical biology,Irrelevant
journal of cereal science,Irrelevant
indian journal of public health,Irrelevant
sociedade e cultura,Irrelevant
gesundheitswesen,Irrelevant
humor,Irrelevant
"acm transactions on multimedia computing, communications and applications",Irrelevant
group processes and intergroup relations,Irrelevant
frontiers in sociology,Irrelevant
international organization,Irrelevant
proceedings of the royal society b: biological sciences,Irrelevant
gerontologist,Irrelevant
"annals of the academy of medicine, singapore",Irrelevant
revista cientifica general jose maria cordova,Irrelevant
elife,Irrelevant
recenti progressi in medicina,Irrelevant
fortschritte der neurologie psychiatrie,Irrelevant
discrete and continuous dynamical systems- series a,Irrelevant
"problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny",Irrelevant
comparative political studies,Irrelevant
policing (oxford),Irrelevant
men and masculinities,Irrelevant
european financial management,Irrelevant
journal of patient safety,Irrelevant
journal of child language,Irrelevant
frontiers in sustainable food systems,Irrelevant
ecnu review of education,Irrelevant
international journal of data and network science,Irrelevant
bulletin of the world health organization,Irrelevant
international journal of contemporary hospitality management,Irrelevant
epidemiology,Irrelevant
journal of feline medicine and surgery,Irrelevant
current women's health reviews,Irrelevant
journal of systems and information technology,Irrelevant
information discovery and delivery,Relevant
public health reports,Irrelevant
"discrete mathematics, algorithms and applications",Irrelevant
frontiers in artificial intelligence,Irrelevant
ieee transactions on automatic control,Irrelevant
journal of politics,Irrelevant
journal of economic studies,Irrelevant
journal of information technology,Relevant
journal of islamic thought and civilization,Irrelevant
giornale italiano di farmacia clinica,Irrelevant
journal of urban history,Irrelevant
canadian pharmacists journal,Irrelevant
nursing ethics,Irrelevant
journal of the pediatric infectious diseases society,Irrelevant
ieee transactions on engineering management,Irrelevant
jama - journal of the american medical association,Irrelevant
journal of telecommunications and the digital economy,Irrelevant
international journal of health planning and management,Irrelevant
"international journal of intelligence, security, and public affairs",Irrelevant
journal of media psychology,Irrelevant
mediators of inflammation,Irrelevant
international journal of current research and review,Irrelevant
archives of suicide research,Irrelevant
slavery and abolition,Irrelevant
infection and drug resistance,Irrelevant
algorithmic finance,Irrelevant
nationalities papers,Irrelevant
journal of experimental biology and agricultural sciences,Irrelevant
medijske studije,Irrelevant
plos biology,Irrelevant
jurnal ilmu sosial dan ilmu politik,Irrelevant
applied artificial intelligence,Irrelevant
rusin,Irrelevant
analisi,Irrelevant
canadian historical review,Irrelevant
acm transactions on management information systems,Irrelevant
ieee/acm transactions on networking,Irrelevant
processes,Irrelevant
sociologica,Irrelevant
journal of cardiovascular electrophysiology,Irrelevant
biomedicine (india),Irrelevant
acta psychiatrica scandinavica,Irrelevant
shagi/ steps,Irrelevant
journal of occupational health,Irrelevant
scientific visualization,Irrelevant
european foreign affairs review,Irrelevant
frontiers in education,Irrelevant
texto livre,Irrelevant
journalism and mass communication educator,Irrelevant
international journal of applied psychoanalytic studies,Irrelevant
informatics,Irrelevant
historical journal,Irrelevant
hospital pharmacy,Irrelevant
proceedings of the pakistan academy of sciences: part b,Irrelevant
"psychology, society and education",Irrelevant
international journal of sociology and social policy,Irrelevant
ieee control systems letters,Irrelevant
zhonghua lao dong wei sheng zhi ye bing za zhi = zhonghua laodong weisheng zhiyebing zazhi = chinese journal of industrial hygiene and occupational diseases,Irrelevant
qualitative inquiry,Irrelevant
collegium antropologicum,Irrelevant
journal of developing societies,Irrelevant
human behavior and emerging technologies,Irrelevant
contemporary voice of dalit,Irrelevant
addiction,Irrelevant
research ethics,Irrelevant
data technologies and applications,Relevant
current hiv research,Irrelevant
international journal of evaluation and research in education,Irrelevant
ieee/acm transactions on audio speech and language processing,Irrelevant
pathogens and global health,Irrelevant
journal of north african studies,Irrelevant
"african journal of science, technology, innovation and development",Irrelevant
international journal of management science and engineering management,Irrelevant
indian journal of marketing,Irrelevant
neurology,Irrelevant
sexually transmitted diseases,Irrelevant
european journal of preventive cardiology,Irrelevant
ethnicities,Irrelevant
journal of oral rehabilitation,Irrelevant
modern intellectual history,Irrelevant
mobile media and communication,Irrelevant
journal of the royal statistical society. series b: statistical methodology,Irrelevant
"studia universitatis vasile goldis arad, economics series",Irrelevant
procesamiento de lenguaje natural,Irrelevant
twentieth century british history,Irrelevant
international studies quarterly,Irrelevant
journal of liberty and international affairs,Irrelevant
canadian journal of dietetic practice and research : a publication of dietitians of canada = revue canadienne de la pratique et de la recherche en dietetique : une publication des dietetistes du canada,Irrelevant
ieee control systems,Irrelevant
catalan journal of communication and cultural studies,Irrelevant
international journal of intelligent computing and cybernetics,Irrelevant
cochrane database of systematic reviews,Irrelevant
on the horizon,Irrelevant
journal of gender-based violence,Irrelevant
social work with groups,Irrelevant
international journal of heritage studies,Irrelevant
medicina (lithuania),Irrelevant
rural history,Irrelevant
annals of saudi medicine,Irrelevant
addictive disorders and their treatment,Irrelevant
health promotion and chronic disease prevention in canada,Irrelevant
open information science,Relevant
regional science policy and practice,Irrelevant
journal of media literacy education,Irrelevant
ieee transactions on fuzzy systems,Irrelevant
revista del cuerpo medico hospital nacional almanzor aguinaga asenjo,Irrelevant
corporate communications,Irrelevant
journal of clinical pharmacology,Irrelevant
psychiatrike = psychiatriki,Irrelevant
"accounting, auditing and accountability journal",Irrelevant
journal of education and community health,Irrelevant
journal of personalized medicine,Irrelevant
clinical and experimental ophthalmology,Irrelevant
medical journal of dr.  d. y.  patil vidyapeeth,Irrelevant
plant direct,Irrelevant
cultural sociology,Irrelevant
expert systems,Irrelevant
renaissance studies,Irrelevant
international journal of health sciences,Irrelevant
international journal of advances in soft computing and its applications,Irrelevant
seventeenth century,Irrelevant
information and communications technology law,Irrelevant
international information and library review,Relevant
ethnopolitics,Irrelevant
journal of the association for consumer research,Irrelevant
global intellectual history,Irrelevant
journal of simulation,Irrelevant
journal of biological education,Irrelevant
clinical and translational science,Irrelevant
south african journal of psychiatry,Irrelevant
international journal of mathematical education in science and technology,Irrelevant
electronic journal of general medicine,Irrelevant
studies in conflict and terrorism,Irrelevant
"transforming government: people, process and policy",Irrelevant
revue d'intelligence artificielle,Irrelevant
international journal of biological sciences,Irrelevant
environmental values,Irrelevant
health education,Irrelevant
journal of human rights practice,Irrelevant
journal of economic dynamics and control,Irrelevant
current opinion in hiv and aids,Irrelevant
ecology and evolution,Irrelevant
medical reference services quarterly,Relevant
visual communication,Irrelevant
dermatologic surgery,Irrelevant
child and adolescent mental health,Irrelevant
heart surgery forum,Irrelevant
"operative neurosurgery (hagerstown, md. )",Irrelevant
pacific asia journal of the association for information systems,Irrelevant
transfusion,Irrelevant
european journal of sustainable development,Irrelevant
eai endorsed transactions on energy web,Irrelevant
international journal of computers and applications,Irrelevant
journal of research on technology in education,Irrelevant
international journal of nanomedicine,Irrelevant
mcn the american journal of maternal/child nursing,Irrelevant
ieee journal of selected topics in applied earth observations and remote sensing,Irrelevant
international journal of environmental health research,Irrelevant
international journal of intelligent engineering and systems,Irrelevant
human factors,Irrelevant
javnost,Irrelevant
ieee transactions on industrial informatics,Irrelevant
jamba: journal of disaster risk studies,Irrelevant
sri lanka journal of child health,Irrelevant
international journal of performability engineering,Irrelevant
transactions on emerging telecommunications technologies,Irrelevant
elementa,Irrelevant
international journal of cloud applications and computing,Irrelevant
journal of artificial intelligence research,Irrelevant
gastroenterology and hepatology from bed to bench,Irrelevant
iraqi journal of science,Irrelevant
national journal of community medicine,Irrelevant
journal of multidisciplinary healthcare,Irrelevant
jurnal komunikasi: malaysian journal of communication,Irrelevant
studies in media and communication,Irrelevant
journal of oncology pharmacy practice,Irrelevant
journal of the medical library association,Partial Relevant
huanjing kexue/environmental science,Irrelevant
journal of primary care and community health,Irrelevant
ciencia e saude coletiva,Irrelevant
interactions,Irrelevant
animals,Irrelevant
american journal of health behavior,Irrelevant
tumour virus research,Irrelevant
jmir serious games,Irrelevant
pharmacoepidemiology and drug safety,Irrelevant
annales de dermatologie et de vénéréologie,Irrelevant
social movement studies,Irrelevant
journal of gynecology obstetrics and human reproduction,Irrelevant
journal for immunotherapy of cancer,Irrelevant
anales de antropología,Irrelevant
mental health & prevention,Irrelevant
"neurology, psychiatry and brain research",Irrelevant
multimodal technologies and interaction,Irrelevant
environmental impact assessment review,Irrelevant
engineering failure analysis,Irrelevant
acta tropica,Irrelevant
the journal of sexual medicine,Irrelevant
microchemical journal,Irrelevant
international journal of business analytics,Irrelevant
electronic news,Irrelevant
aims public health,Irrelevant
aggressive behavior,Irrelevant
microorganisms,Irrelevant
nasn school nurse (print),Irrelevant
journal of psychopharmacology,Irrelevant
tydskrif vir geesteswetenskappe,Irrelevant
canadian journal of psychiatry,Irrelevant
european heart journal - case reports,Irrelevant
international journal of information technology and decision making,Irrelevant
journal of computer science,Irrelevant
wseas transactions on systems and control,Irrelevant
journal of discrete mathematical sciences and cryptography,Irrelevant
american journal of roentgenology,Irrelevant
acta cardiologica,Irrelevant
comprehensive reviews in food science and food safety,Irrelevant
haemophilia,Irrelevant
party politics,Irrelevant
global biogeochemical cycles,Irrelevant
wiley interdisciplinary reviews: data mining and knowledge discovery,Irrelevant
journal of medical virology,Irrelevant
pediatric infectious disease journal,Irrelevant
philosophy and social criticism,Irrelevant
communication and critical/ cultural studies,Irrelevant
ieee internet of things journal,Irrelevant
revista espanola de orientacion y psicopedagogia,Irrelevant
ieee transactions on intelligent transportation systems,Irrelevant
rsc advances,Irrelevant
jbjs case connector,Irrelevant
frontiers in artificial intelligence and applications,Irrelevant
population medicine,Irrelevant
frontiers in human neuroscience,Irrelevant
british journal of social psychology,Irrelevant
ethnicity and health,Irrelevant
administration and society,Irrelevant
substance abuse,Irrelevant
journal of experimental psychology: learning memory and cognition,Irrelevant
organization management journal,Irrelevant
worldviews on evidence-based nursing,Irrelevant
astronomical journal,Irrelevant
international journal of aerospace psychology,Irrelevant
microbiology spectrum,Irrelevant
aem education and training,Irrelevant
physical review x,Irrelevant
tribunes de la sante,Irrelevant
archives of disease in childhood,Irrelevant
ieee journal on selected areas in communications,Irrelevant
acta biomedica,Irrelevant
recent patents on engineering,Irrelevant
global perspectives,Irrelevant
journal of korean medical science,Irrelevant
european journal of clinical investigation,Irrelevant
bulletin of the polish academy of sciences: technical sciences,Irrelevant
international journal of women's health,Irrelevant
clinical cancer research,Irrelevant
political research quarterly,Irrelevant
political studies,Irrelevant
african journal of primary health care and family medicine,Irrelevant
universal journal of accounting and finance,Irrelevant
journal of islamic accounting and business research,Irrelevant
designs,Irrelevant
current opinion in psychiatry,Irrelevant
world's poultry science journal,Irrelevant
health policy and planning,Irrelevant
genome biology and evolution,Irrelevant
explorations in media ecology,Irrelevant
pediatrics,Irrelevant
physical review a,Irrelevant
ieee transactions on circuits and systems i: regular papers,Irrelevant
international journal of eating disorders,Irrelevant
physical review letters,Irrelevant
ieee transactions on power delivery,Irrelevant
environmental science and technology,Irrelevant
orbit (london),Irrelevant
international journal on semantic web and information systems,Irrelevant
international journal of web-based learning and teaching technologies,Irrelevant
perspectives on psychological science,Irrelevant
kotuitui,Irrelevant
australian journal of international affairs,Irrelevant
galaxies,Irrelevant
international journal of health services,Irrelevant
journal of healthcare engineering,Irrelevant
studies in health technology and informatics,Irrelevant
journal of palliative care,Irrelevant
behavioral sciences and the law,Irrelevant
clinical journal of the american society of nephrology,Irrelevant
western journal of emergency medicine,Irrelevant
american journal of men's health,Irrelevant
human factors and ergonomics in manufacturing,Irrelevant
new review of academic librarianship,Relevant
irish political studies,Irrelevant
ethics and behavior,Irrelevant
current opinion in pediatrics,Irrelevant
epilepsia open,Irrelevant
nutrition and dietetics,Irrelevant
health education journal,Irrelevant
computation,Irrelevant
anz journal of surgery,Irrelevant
international journal of quantum information,Irrelevant
"acta paediatrica, international journal of paediatrics",Irrelevant
research in science and technological education,Irrelevant
cambridge review of international affairs,Irrelevant
international political science review,Irrelevant
regulation and governance,Irrelevant
annals of behavioral medicine,Irrelevant
journal of the american medical informatics association : jamia,Irrelevant
european politics and society,Irrelevant
journal of dental research,Irrelevant
dynamics of asymmetric conflict: pathways toward terrorism and genocide,Irrelevant
journal of global security studies,Irrelevant
bell labs technical journal,Irrelevant
international journal of nursing studies,Irrelevant
library quarterly,Relevant
education in the knowledge society,Irrelevant
journal of forensic psychology research and practice,Irrelevant
journal of human values,Irrelevant
ieee journal of biomedical and health informatics,Irrelevant
journal of elections public opinion and parties,Irrelevant
developmental psychology,Irrelevant
brain structure & function,Irrelevant
parasitology international,Irrelevant
ieee transactions on communications,Irrelevant
science & education,Irrelevant
biological invasions,Irrelevant
australasian medical journal,Irrelevant
design issues,Irrelevant
computer graphics forum,Irrelevant
journal of general psychology,Irrelevant
therapeutic innovation & regulatory science,Irrelevant
episteme-a journal of individual and social epistemology,Irrelevant
jama internal medicine,Irrelevant
annals of pharmacotherapy,Irrelevant
journal of the royal society interface,Irrelevant
international journal of childbirth,Irrelevant
nature reviews urology,Irrelevant
hormones and behavior,Irrelevant
journal of agricultural and applied economics,Irrelevant
journal of consumer psychology,Irrelevant
sociology of health & illness,Irrelevant
jama-journal of the american medical association,Irrelevant
evolutionary human sciences,Irrelevant
young consumers,Irrelevant
international journal of web services research,Irrelevant
economic research-ekonomska istrazivanja,Irrelevant
journal of qualitative research in education-egitimde nitel arastirmalar dergisi,Irrelevant
journal of material culture,Irrelevant
journal of management science and engineering,Irrelevant
advances in complex systems,Irrelevant
informs journal on computing,Irrelevant
societes,Irrelevant
research policy,Irrelevant
ieee transactions on information theory,Relevant
marketing intelligence & planning,Irrelevant
acm transactions on knowledge discovery from data,Irrelevant
connection science,Irrelevant
journal of computer information systems,Irrelevant
acm transactions on algorithms,Irrelevant
journal of dynamical systems and geometric theories,Irrelevant
journal of organizational and end user computing,Irrelevant
yuksekogretim dergisi,Irrelevant
fractals-complex geometry patterns and scaling in nature and society,Irrelevant
russian psychological journal,Irrelevant
international journal of online marketing,Irrelevant
south east asia research,Irrelevant
social development,Irrelevant
journal of nonverbal behavior,Irrelevant
gland surgery,Irrelevant
accident analysis & prevention,Irrelevant
psychoneuroendocrinology,Irrelevant
clinical toxicology,Irrelevant
cancer discovery,Irrelevant
revista digital de derecho administrativo,Irrelevant
american journal of nursing,Irrelevant
bottom line,Relevant
social science information sur les sciences sociales,Irrelevant
journal of the experimental analysis of behavior,Irrelevant
information & culture,Irrelevant
philosophy today,Irrelevant
educational and psychological measurement,Irrelevant
archives of bone and joint surgery-abjs,Irrelevant
jmir human factors,Irrelevant
japanese journal of political science,Irrelevant
philosophical transactions of the royal society b-biological sciences,Irrelevant
molecular oncology,Irrelevant
human communication research,Irrelevant
journalism & mass communication quarterly,Irrelevant
clinical social work and health intervention,Irrelevant
safundi-the journal of south african and american studies,Irrelevant
risk management and healthcare policy,Irrelevant
history and philosophy of the life sciences,Irrelevant
journal of forensic psychology practice,Irrelevant
science education,Irrelevant
nature energy,Irrelevant
strategic behavior and the environment,Irrelevant
journal of general internal medicine,Irrelevant
respiratory medicine,Irrelevant
neuroimage,Irrelevant
international relations,Irrelevant
child development,Irrelevant
psychonomic bulletin & review,Irrelevant
canadian journal of neurological sciences,Irrelevant
pediatric dermatology,Irrelevant
international journal of sport communication,Irrelevant
journal of osteopathic medicine,Irrelevant
jama cardiology,Irrelevant
journal of applied developmental psychology,Irrelevant
law & policy,Irrelevant
emerging infectious diseases,Irrelevant
network science,Irrelevant
iise transactions,Irrelevant
african affairs,Irrelevant
world journal of hepatology,Irrelevant
psychological research-psychologische forschung,Irrelevant
journal of international humanitarian legal studies,Irrelevant
asia-pacific journal of public health,Irrelevant
res publica-a journal of moral legal and political philosophy,Irrelevant
american journal of cultural sociology,Irrelevant
journal of patient experience,Irrelevant
cell,Irrelevant
social indicators research,Irrelevant
international journal of science education part b-communication and public engagement,Irrelevant
discrete mathematics algorithms and applications,Irrelevant
siam journal on applied mathematics,Irrelevant
culture and organization,Irrelevant
journal of religion in africa,Irrelevant
contemporary social science,Irrelevant
advances in mathematical physics,Irrelevant
souls,Irrelevant
chaos,Irrelevant
journal of british studies,Irrelevant
ambio,Irrelevant
journal of modern chinese history,Irrelevant
journal of consumer behaviour,Irrelevant
organizational behavior and human decision processes,Irrelevant
istoriya-elektronnyi nauchno-obrazovatelnyi zhurnal,Irrelevant
international journal of bifurcation and chaos,Irrelevant
canadian journal of african studies,Irrelevant
german studies review,Irrelevant
mathematical social sciences,Irrelevant
social identities,Irrelevant
journal of mathematical sociology,Irrelevant
axioms,Irrelevant
resources policy,Irrelevant
journal of social and political psychology,Irrelevant
international journal of selection and assessment,Irrelevant
fronteras de la historia,Irrelevant
confins-revue franco-bresilienne de geographie-revista franco-brasileira de geografia,Irrelevant
applied economics letters,Irrelevant
health information and libraries journal,Relevant
frontiers of history in china,Irrelevant
international journal of inclusive education,Irrelevant
historia e cultura,Irrelevant
palgrave communications,Irrelevant
asian studies review,Irrelevant
journal of latin american cultural studies,Irrelevant
impact assessment and project appraisal,Irrelevant
anziam journal,Irrelevant
negotiation journal,Irrelevant
ajalooline ajakiri-the estonian historical journal,Irrelevant
journal of modern african studies,Irrelevant
social science research,Irrelevant
acta physica polonica b,Irrelevant
acta historica tallinnensia,Irrelevant
ethnohistory,Irrelevant
magallania,Irrelevant
computer standards & interfaces,Irrelevant
psychology society & education,Irrelevant
accounting and finance,Irrelevant
journal of southeast asian studies,Irrelevant
ajar-african journal of aids research,Irrelevant
vestnik sankt-peterburgskogo universiteta seriya 10 prikladnaya matematika informatika protsessy upravleniya,Irrelevant
sociological research online,Irrelevant
nature communications,Irrelevant
information research-an international electronic journal,Partial Relevant
performance evaluation,Irrelevant
advances in human-computer interaction,Irrelevant
